District,Crop,Year,Rainfall_mm,Temperature_C,Humidity_pct,Soil_pH,Soil_Moisture_pct,Yield_t_ha
Trichy,Rice,2018,575.2688586023644,25.01475073146322,62.78266173070384,7.085528093615362,36.36650728895375,6.861122322465391
Coimbatore,Rice,2024,714.6714111410879,27.826704434487887,68.1652160372658,7.024739681343577,27.342893748992054,7.4129006558637665
Salem,Cotton,2023,918.000276720797,26.788299889474125,74.70769742807357,7.4356790179089,20.73259356916568,6.925454196900671
Salem,Cotton,2021,692.9200036528968,30.623650468252844,76.45136343877999,7.05162425926511,46.09504841771521,6.427159780108175
Trichy,Rice,2021,780.4083899247254,30.7133496130651,71.18314906404724,6.61923845792549,33.25642371147771,7.013228264121832
Tirunelveli,Groundnut,2024,960.3396731324874,22.12709824820444,57.19444672966801,6.462127481386172,42.404154650819294,6.0392557918129635
Erode,Cotton,2018,762.8068296996745,31.344350140045808,49.29745290764748,7.018694358999556,55.90048426841169,6.824680431983627
Tirunelveli,Rice,2023,906.5148972755063,26.045581099331805,66.12044011775548,6.56678572704933,41.0195235304058,8.791555666667158
Coimbatore,Rice,2019,1248.1821140048921,28.756135035509356,77.71284858709764,6.733059064511793,38.03569061579523,9.143180163185026
Vellore,Maize,2018,807.0353002532506,24.995492030773452,72.49697441397743,7.056778301737453,46.036751365026575,6.972968422531666
Salem,Rice,2022,1144.8344524298016,29.187630728671305,70.42033007380037,6.79698910063218,42.237039615103676,8.664287359126321
Salem,Groundnut,2025,989.8425168268395,36.16431665158753,67.92973443533516,6.916016617326895,23.63531552638822,3.3140354878445106
Chennai,Groundnut,2023,483.18950162830834,28.406929796112106,71.09101843471686,6.146354818018934,46.99386271075967,6.23688899102555
Tirunelveli,Maize,2024,574.4657426841189,26.52848730353166,58.059088230460816,7.644793927854462,34.58638692189289,6.005058350070291
Chennai,Cotton,2023,641.6010292325259,27.25708404903827,75.80201819165282,5.9253289806504,48.872206252042965,8.29088222950364
Salem,Cotton,2024,636.2912707668041,23.299104136838338,76.46306458422148,7.007438412248873,39.563415831044665,6.640961908611041
Tirunelveli,Groundnut,2022,827.4275634732965,32.636682515726264,64.4473449165672,6.359911522622558,45.72395518002121,5.820795093269944
Erode,Groundnut,2019,1003.6610120204556,29.001225944309155,72.37007630651638,7.457642230643227,32.97848011103894,6.721804572777307
Chennai,Rice,2024,1163.7896041761805,24.64352669984689,50.83450535629995,7.318618591492905,21.34424153517285,6.3119666223871995
Tirunelveli,Rice,2021,927.0437721812706,24.74778147158799,69.80047915971333,6.698565131056842,40.07341620140239,8.4683983867635
Trichy,Cotton,2022,738.5801109866975,28.048903613276245,66.66874739058333,7.78830427623171,43.79166718633198,7.70521707378149
Madurai,Groundnut,2020,329.43968909253147,30.98238525868316,80.59232906870481,6.568820546252851,29.987610912825964,5.810034570294988
Coimbatore,Maize,2019,867.6473938543345,24.316832292041692,66.01357242814939,7.3171843225239845,33.17025231667067,6.102743364336731
Vellore,Groundnut,2025,856.4425484237478,31.562909893974947,76.68664513380946,6.191638412309635,15.070835515152744,5.313035002226046
Trichy,Rice,2024,895.7321883847394,27.70677263373791,64.088274888175,6.983481665318291,33.602325045161926,7.281883046447717
Salem,Maize,2023,1376.5600744258331,25.02322116797729,45.13899285424898,6.0472777729987826,23.745929994927003,5.715158291562869
Coimbatore,Maize,2021,1160.149136548268,26.503390634966472,65.74463679189768,6.713629884358729,39.65501073277197,7.512412391807034
Vellore,Cotton,2024,1046.2652295624964,33.59537240681507,69.96757255113438,6.6640114923821345,38.0143043164365,6.393526761019915
Coimbatore,Maize,2022,609.4807174821001,23.55771732305492,69.50837503688507,7.314991162807675,35.136803172909026,5.663082528283636
Trichy,Rice,2021,721.7513127008142,25.657942540972332,69.65950505273479,6.230475041701043,46.90384426531281,7.246760296019593
Chennai,Maize,2021,826.2888482678744,31.048267470831746,62.93545797634433,8.5,37.1686829625099,6.374302512618954
Madurai,Maize,2019,656.1482189974116,28.692662539051632,64.76272424254975,5.732539267151492,36.741087253263366,6.308382611084756
Vellore,Maize,2018,975.1161312462796,25.468029381574233,56.73656155419467,6.863064417698237,37.89459718393116,7.440492576940679
